,target,date,USE00020,price_open,price_high,price_low,price_close,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00145_low,USE00145_high,USE00145_mean,PE100058,MA000001,d111,d112,d211,d221,d222,d511,d512,D521,D522,d611,d612,d711,MA5,MA6,MA10,MA15,QA,day,S0049493_2,S0049493_3,S0049493_4,S0029752_2,S0029752_3,S0029752_4
27,0.0,2015-03-18,6.84,42040.0,42420.0,41590.0,41620.0,-80.0,-50.0,80.0,90.0,25.5,40.5,42160.0,42130.0,5692.5,340650.0,241700.0,359698.0,241616.0,84842.0,42120.0,-150.0,-70.0,773250.0,-160.0,-90.0,-125.0,1147580.0,707967.0,30.0,-65.0,0.354762953178,0.175571981988,241616.0,8992450.0,13.1989578747,1933125.0,8.00081534335,30.0,80.0,439613.0,42452.0,42390.0,42357.0,42467.3333333,1,18,171987.0,258368.0,337764.0,682850.0,1020425.0,1354000.0
28,-1.0,2015-03-19,6.84,41430.0,42790.0,41120.0,41720.0,-110.0,-80.0,80.0,90.0,26.25,43.0,41640.0,41680.0,5835.0,342600.0,245975.0,354292.0,241616.0,84114.0,41510.0,-150.0,-80.0,776692.0,-170.0,-100.0,-135.0,1147580.0,707967.0,40.0,-95.0,0.358982778751,0.174065459241,241616.0,8857300.0,12.9265907764,1941730.0,8.03642970664,30.0,70.0,439613.0,42284.0,42330.0,42279.0,42414.6666667,1,19,168956.0,256101.0,342482.0,683250.0,1025450.0,1363025.0
29,-1.0,2015-03-20,6.84,42030.0,42500.0,41850.0,42040.0,-140.0,-100.0,80.0,90.0,28.5,41.25,42190.0,42180.0,5920.0,341750.0,246975.0,358107.0,239349.0,83333.0,42130.0,-180.0,-100.0,783326.0,-200.0,-120.0,-160.0,1147580.0,707967.0,10.0,-120.0,0.361338697879,0.174082615762,239349.0,8952675.0,13.0982809071,1958315.0,8.18183907182,40.0,80.0,439613.0,42124.0,42243.3333333,42263.0,42368.6666667,1,20,167447.0,252289.0,339434.0,684350.0,1025000.0,1367200.0
30,-1.0,2015-03-23,6.84,42480.0,44050.0,42400.0,43570.0,-150.0,-110.0,75.0,85.0,29.5,39.0,43400.0,43440.0,6093.5,340925.0,247725.0,362033.0,239349.0,83561.0,43280.0,-200.0,-120.0,772942.0,-200.0,-130.0,-165.0,1147580.0,707967.0,40.0,-130.0,0.363313045391,0.174558907704,239349.0,9050825.0,13.2739238836,1932355.0,8.07337820505,40.0,80.0,439613.0,42276.0,42365.0,42390.0,42393.3333333,1,23,166894.0,251008.0,335850.0,682675.0,1025275.0,1365925.0
31,0.0,2015-03-24,6.84,43650.0,44690.0,43530.0,43850.0,-200.0,-170.0,75.0,85.0,29.0,36.75,43930.0,43920.0,6128.0,342275.0,251025.0,365065.0,239349.0,83612.0,43910.0,-240.0,-150.0,785144.0,-250.0,-170.0,-210.0,1147580.0,707967.0,10.0,-185.0,0.366700752319,0.174665446691,239349.0,9126625.0,13.3322985903,1962860.0,8.2008280795,30.0,90.0,439613.0,42560.0,42538.3333333,42552.0,42480.6666667,1,24,167173.0,250506.0,334620.0,683200.0,1024950.0,1367550.0
32,-1.0,2015-03-25,6.84,43810.0,43940.0,43390.0,43680.0,-200.0,-170.0,75.0,85.0,24.5,31.0,43650.0,43660.0,6134.5,342625.0,252300.0,368318.0,239349.0,84938.0,43670.0,-250.0,-180.0,797540.0,-250.0,-180.0,-215.0,1147580.0,707967.0,10.0,-185.0,0.368186793141,0.177435460353,239349.0,9207950.0,13.4373586282,1993850.0,8.3303042837,30.0,70.0,439613.0,42972.0,42746.6666667,42712.0,42562.0,1,25,168550.0,252111.0,335444.0,684900.0,1025825.0,1367575.0
33,-1.0,2015-03-26,6.84,43700.0,44000.0,43610.0,43930.0,-230.0,-190.0,75.0,85.0,21.5,35.0,43790.0,43910.0,6230.0,339600.0,252950.0,370184.0,239349.0,85765.0,43820.0,-250.0,-180.0,796838.0,-270.0,-200.0,-235.0,1147580.0,707967.0,120.0,-210.0,0.37242343934,0.179163063142,239349.0,9254600.0,13.6257361602,1992095.0,8.3229718946,40.0,70.0,439613.0,43414.0,43131.6666667,42849.0,42657.3333333,1,26,170703.0,254315.0,337876.0,682225.0,1024500.0,1365425.0
34,0.0,2015-03-27,6.84,44050.0,44340.0,43360.0,43770.0,-180.0,-160.0,75.0,85.0,23.5,35.0,43780.0,43820.0,6146.0,337175.0,252200.0,368896.0,243592.0,86042.0,43870.0,-180.0,-80.0,819752.0,-220.0,-100.0,-160.0,1147580.0,707967.0,40.0,-170.0,0.373989767925,0.176610890341,243592.0,9222400.0,13.6759842812,2049380.0,8.41316627804,20.0,100.0,439613.0,43760.0,43473.3333333,42942.0,42762.0,1,27,171807.0,256745.0,340357.0,676775.0,1019400.0,1361675.0
35,-1.0,2015-03-30,6.84,43690.0,43990.0,43410.0,43830.0,-70.0,-30.0,75.0,85.0,24.5,34.0,43580.0,43740.0,6110.0,334600.0,251725.0,370685.0,243592.0,86744.0,43620.0,-100.0,-50.0,818226.0,-120.0,-50.0,-85.0,1147580.0,707967.0,160.0,-50.0,0.376158099223,0.178051824362,243592.0,9267125.0,13.8480648536,2045565.0,8.39750484417,40.0,50.0,439613.0,43812.0,43771.6666667,43044.0,42864.0,1,30,172786.0,258551.0,343489.0,671775.0,1011375.0,1354000.0
36,0.0,2015-03-31,6.84,43820.0,44070.0,43330.0,43350.0,-100.0,-70.0,75.0,85.0,23.5,29.5,43720.0,43760.0,6050.5,332300.0,252000.0,371639.0,243592.0,87874.0,43770.0,-130.0,-70.0,827944.0,-130.0,-80.0,-105.0,943110.0,875739.0,40.0,-85.0,0.379175443876,0.180371276561,243592.0,9290975.0,13.9797998796,2069860.0,8.49724128871,30.0,60.0,67371.0,43712.0,43735.0,43136.0,42938.6666667,1,31,174618.0,260660.0,346425.0,666900.0,1004075.0,1343675.0
37,0.0,2015-04-01,6.84,43430.0,43670.0,43080.0,43260.0,-40.0,-20.0,75.0,85.0,23.0,31.0,43360.0,43440.0,6019.5,332125.0,250675.0,372450.0,243592.0,89282.0,43380.0,-90.0,0.0,831650.0,-90.0,0.0,-45.0,943110.0,875739.0,80.0,-30.0,0.377380504328,0.183261355053,243592.0,9311250.0,14.0176891231,2079125.0,8.53527619955,20.0,90.0,67371.0,43628.0,43636.6666667,43300.0,43017.3333333,2,1,177156.0,263900.0,349942.0,664425.0,999025.0,1336200.0
38,-1.0,2015-04-02,6.84,43120.0,43630.0,43030.0,43520.0,70.0,90.0,75.0,85.0,23.25,30.5,43340.0,43450.0,6001.5,333550.0,254175.0,373673.0,243592.0,88605.0,43350.0,20.0,60.0,814526.0,-20.0,50.0,15.0,943110.0,875739.0,110.0,80.0,0.381014840354,0.181871736346,243592.0,9341825.0,14.0036351372,2036315.0,8.35953151171,20.0,40.0,67371.0,43546.0,43610.0,43480.0,43081.3333333,2,2,177887.0,265761.0,352505.0,665675.0,997975.0,1332575.0
39,-1.0,2015-04-07,6.84,43300.0,43560.0,43300.0,43480.0,50.0,70.0,75.0,85.0,19.5,28.75,43400.0,43550.0,6041.0,333425.0,255175.0,376951.0,246656.0,87078.0,43450.0,0.0,50.0,809140.0,0.0,40.0,20.0,943110.0,875739.0,150.0,60.0,0.382657269251,0.176517092631,246656.0,9423775.0,14.1317762615,2022850.0,8.20109788531,20.0,50.0,67371.0,43488.0,43535.0,43624.0,43124.0,2,7,175683.0,264965.0,352839.0,666975.0,999100.0,1331400.0
40,0.0,2015-04-08,6.84,43550.0,43820.0,43360.0,43460.0,70.0,90.0,65.0,75.0,17.75,25.75,43490.0,43570.0,6055.0,331000.0,256325.0,375584.0,246656.0,86203.0,43580.0,20.0,70.0,805438.0,30.0,60.0,45.0,943110.0,875739.0,80.0,80.0,0.387197885196,0.174743367281,246656.0,9389600.0,14.1836858006,2013595.0,8.16357599248,20.0,50.0,67371.0,43414.0,43483.3333333,43613.0,43167.3333333,2,8,173281.0,261886.0,351168.0,664425.0,997975.0,1330100.0
