,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
88,2016-08-03,6.69,972735.0,837883.0,38120.0,38450.0,37680.0,37790.0,1.0621,90.0,130.0,45.0,60.0,-15.5,-39.0,38120.0,37780.0,4844.5,207350.0,153450.0,348481.0,165239.0,69713.0,38050.0,40.0,150.0,574808.0,7.7388,7.7613,30.0,130.0,80.0,1.0
89,2016-08-04,6.67,972735.0,837883.0,37710.0,37910.0,37430.0,37620.0,1.01535,120.0,180.0,45.0,60.0,-16.0,-41.0,37730.0,37540.0,4787.0,209300.0,159550.0,349247.0,165239.0,67568.0,37650.0,40.0,170.0,563804.0,7.7704,7.7808,30.0,170.0,100.0,1.0
90,2016-08-05,6.68,972735.0,837883.0,37300.0,37770.0,37280.0,37620.0,1.06882,140.0,180.0,45.0,60.0,-9.75,-39.75,37600.0,37470.0,4792.5,206650.0,160700.0,347788.0,165239.0,66244.0,37540.0,80.0,180.0,542568.0,7.7602,7.7727,40.0,170.0,105.0,1.0
92,2016-08-08,6.68,972735.0,837883.0,37510.0,37680.0,37370.0,37540.0,0.918071,100.0,180.0,45.0,60.0,-10.5,-35.5,37580.0,37440.0,4796.0,205025.0,152200.0,349366.0,174563.0,64549.0,37510.0,50.0,150.0,540380.0,7.7822,7.803,20.0,140.0,80.0,1.0
93,2016-08-09,6.71,972735.0,837883.0,37560.0,37760.0,37180.0,37220.0,0.863683,60.0,140.0,45.0,60.0,-9.75,-37.5,37510.0,37280.0,4779.0,205350.0,154825.0,348976.0,174563.0,63776.0,37470.0,30.0,150.0,558306.0,7.7736,7.7882,-10.0,120.0,55.0,1.0
94,2016-08-10,6.71,972735.0,837883.0,37160.0,37530.0,37100.0,37470.0,0.999301,50.0,130.0,45.0,60.0,-4.75,-34.0,37420.0,37240.0,4874.5,204825.0,150525.0,344038.0,174563.0,65731.0,37350.0,0.0,120.0,551562.0,7.7338,7.769,-20.0,110.0,45.0,0.0
95,2016-08-11,6.69,972735.0,837883.0,37790.0,37800.0,37450.0,37530.0,0.79986,70.0,130.0,45.0,60.0,-8.0,-36.25,37650.0,37360.0,4810.0,203925.0,148975.0,341591.0,174563.0,65780.0,37600.0,20.0,120.0,538080.0,7.7079,7.7429,10.0,130.0,70.0,1.0
96,2016-08-12,6.68,972735.0,837883.0,37550.0,37690.0,37450.0,37560.0,0.970262,100.0,160.0,45.0,60.0,-12.0,-41.0,37620.0,37380.0,4746.0,202375.0,148400.0,341018.0,174563.0,69337.0,37570.0,50.0,140.0,532278.0,7.8436,7.875,20.0,130.0,75.0,1.0
98,2016-08-15,6.69,972735.0,837883.0,37230.0,37350.0,37000.0,37070.0,1.13542,50.0,70.0,45.0,60.0,-7.25,-39.75,37280.0,37040.0,4746.0,207150.0,151800.0,334272.0,172619.0,69199.0,37210.0,60.0,160.0,538510.0,7.7519,7.7666,40.0,160.0,100.0,1.0
99,2016-08-16,6.69,972735.0,837883.0,37070.0,37290.0,37020.0,37220.0,1.18661,40.0,60.0,45.0,60.0,-11.0,-40.25,37300.0,37080.0,4798.0,205375.0,147575.0,327474.0,172619.0,68899.0,37160.0,-60.0,70.0,515764.0,7.724,7.7468,-40.0,50.0,5.0,0.0
100,2016-08-17,6.69,972735.0,837883.0,37330.0,37390.0,37180.0,37220.0,1.1966,50.0,70.0,45.0,60.0,-15.0,-43.5,37400.0,37200.0,4755.5,213300.0,153075.0,326416.0,172619.0,67123.0,37280.0,-50.0,60.0,504588.0,7.7814,7.8107,-40.0,40.0,0.0,1.0
101,2016-08-18,6.67,972735.0,837883.0,37180.0,37400.0,37090.0,37370.0,1.17378,40.0,60.0,45.0,60.0,-16.0,-45.25,37370.0,37170.0,4802.5,213425.0,149425.0,327254.0,172619.0,64919.0,37230.0,-60.0,40.0,512992.0,7.764,7.7911,-60.0,20.0,-20.0,0.0
102,2016-08-19,6.67,972735.0,837883.0,37480.0,37490.0,37230.0,37390.0,1.27352,-10.0,30.0,45.0,60.0,-12.25,-47.0,37450.0,37230.0,4774.0,210625.0,151250.0,325898.0,172619.0,62487.0,37330.0,-60.0,20.0,508572.0,7.7771,7.7979,-70.0,-10.0,-40.0,1.0
104,2016-08-22,6.67,972735.0,837883.0,37290.0,37390.0,37080.0,37140.0,1.30178,-20.0,0.0,45.0,60.0,-15.0,-48.0,37360.0,37180.0,4732.0,229375.0,172050.0,325738.0,165803.0,58609.0,37250.0,-70.0,0.0,514360.0,7.8042,7.8232,-80.0,-20.0,-50.0,1.0
105,2016-08-23,6.71,972735.0,837883.0,37020.0,37180.0,36910.0,37120.0,1.22497,-20.0,0.0,45.0,60.0,-17.5,-46.75,37210.0,37080.0,4719.0,240075.0,186350.0,327698.0,165803.0,56447.0,37090.0,-70.0,0.0,511844.0,7.8865,7.9035,-70.0,-20.0,-45.0,1.0
